Name,state,Stars,Valoracion
Jalapeño's Bar & Grill - Franklin,Idaho,5,Muy bueno
Taco Bell,Tennessee,1,Malo
Americano Mexicano,Arizona,5,Muy bueno
Beef Master Meat Market,Arizona,5,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
QDOBA Mexican Eats,Indiana,1,Malo
El Pollo Loco,Nevada,4,Muy bueno
Punch Bowl Social Indianapolis,Indiana,5,Muy bueno
Wicked Greenz,Missouri,5,Muy bueno
The Hall on Franklin,Florida,3,Malo
Zeppelin,Nevada,5,Muy bueno
Guadalajara Original Grill,Arizona,5,Muy bueno
Sync Exton,Pensilvania,5,Muy bueno
Casino Del Sol,Arizona,5,Muy bueno
El Charro Cafe,Arizona,1,Muy bueno
Tacos el Rey,Nevada,5,Muy bueno
Badfins Food + Brew,Florida,3,Malo
Blanco Tacos + Tequila,Arizona,3,Muy bueno
Zeppelin,Nevada,4,Muy bueno
Livery - Indianapolis,Indiana,2,Muy bueno
Casa Valencia,Arizona,1,Muy bueno
El Limon,Pensilvania,5,Muy bueno
Tijuana Flats,Florida,5,Muy bueno
Breakfast Stop,Arizona,5,Muy bueno
Amigos Tortilla Bar,Florida,5,Muy bueno
goa taco,California,5,Muy bueno
Chipotle Mexican Grill,Arizona,1,Malo
The Funky Taco,Idaho,5,Muy bueno
Taco Bus,Florida,2,Malo
Saint Anejo,Tennessee,4,Muy bueno
Espíritu Mezcaleria,Luisiana,5,Muy bueno
El Mariachi,Nueva Jersey,4,Muy bueno
On The Border Mexican Grill & Cantina,Indiana,5,Muy bueno
Candelaria's Cafe Shop,Nevada,5,Muy bueno
Bakersfield,Tennessee,5,Muy bueno
Distrito,Pensilvania,5,Muy bueno
Chili's,Pensilvania,1,Muy bueno
Seoul Taco,Missouri,4,Muy bueno
Capital Tacos,Florida,5,Muy bueno
Hana Kitchen,California,3,Malo
Eurotaste Grill,Florida,4,Muy bueno
Lito's Take  Out,California,5,Muy bueno
Taco Dirty,Florida,5,Muy bueno
Livery - Indianapolis,Indiana,4,Muy bueno
Los Gallos Mexican Taqueria,Pensilvania,5,Muy bueno
Mas Tacos Por Favor,Tennessee,5,Muy bueno
Bartaco,Tennessee,5,Muy bueno
Los Betos Mexican Food,Arizona,5,Muy bueno
Oscar's Taco Shop,Tennessee,5,Muy bueno
Taquito Feliz,Pensilvania,3,Muy bueno
Plazita Mexico Cafe,Arizona,5,Muy bueno
On The Border Mexican Grill & Cantina,Indiana,4,Muy bueno
The Tamale Place,Indiana,5,Muy bueno
Redwood Rotisserie + Grill,Nevada,3,Muy bueno
Pedro's Cocina Mexicana,Tennessee,3,Muy bueno
La Villa Mexican Grill & Seafood,Tennessee,1,Muy bueno
Biscuits Cafe,Indiana,5,Muy bueno
Tucson Tamale,Arizona,5,Muy bueno
El Cerrito Mexican Restaurant & Grill,Florida,5,Muy bueno
Taco Bell,Florida,1,Malo
El Pollo Loco,Nevada,4,Muy bueno
Las Fuentes,Missouri,5,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,2,Malo
Chihuahua's Cantina & Grill,Nevada,4,Muy bueno
The Rum House,Luisiana,5,Muy bueno
The Rum House,Luisiana,5,Muy bueno
Rubio's Coastal Grill,Florida,4,Muy bueno
Taqueria Mi Mexico,Florida,5,Muy bueno
El Taco,Pensilvania,1,Muy bueno
Goyita's,Arizona,2,Muy bueno
Chili's,Pensilvania,5,Muy bueno
Breakfast 96 & Tacos,Indiana,5,Muy bueno
Green Lemon,Florida,5,Muy bueno
Juan's Flying Burrito,Luisiana,4,Muy bueno
Taco Bell,Illinois,1,Malo
El Molinito,Arizona,5,Muy bueno
Tanias 33 Mexican Food,Arizona,4,Muy bueno
Carlillos Cocina,Nevada,4,Muy bueno
Taco Bus,Florida,2,Malo
Bertha Miranda's Mexican Food Restaurant and Cantina,Nevada,5,Muy bueno
Gallito @ Sparkman Wharf,Florida,2,Malo
Mariscos Chihuahua,Arizona,4,Muy bueno
Chili's,Florida,5,Muy bueno
Delgado's Mexican Foods,California,1,Malo
Miguel's Mexican Food,Nevada,3,Malo
Baja Cafe on Campbell,Arizona,5,Muy bueno
Super Tortas,Indiana,5,Muy bueno
Del Taco,Idaho,2,Muy bueno
QDOBA Mexican Eats,Pensilvania,5,Muy bueno
La Super-Rica Taqueria,California,5,Muy bueno
Restaurante Yesenia,Nevada,5,Muy bueno
Reynaldo's  Bakery,California,1,Malo
Rancho Rustico Restaurant,Arizona,5,Muy bueno
La Calaca Feliz,Pensilvania,5,Muy bueno
On The Border Mexican Grill & Cantina,Arizona,5,Muy bueno
Laughing Planet Cafe,Nevada,5,Muy bueno
Mestizo's Mexican Cuisine,Tennessee,1,Muy bueno
Cantina Feliz,Pensilvania,5,Muy bueno
Vegan GreenGO,California,4,Muy bueno
Tacos El Tio,Nueva Jersey,5,Muy bueno
Mari Chuy's - Midtown,Nevada,4,Muy bueno
Plaza Azteca - Kennett Square,Pensilvania,4,Muy bueno
Zeppelin,Nevada,5,Muy bueno
Sopapilla's,Tennessee,5,Muy bueno
Tacos Jalisco Grill & Cantina,Nevada,5,Muy bueno
Saint Anejo,Tennessee,5,Muy bueno
Cantina Los Caballitos,Pensilvania,2,Muy bueno
Sabor Latin Cuisine,Nevada,4,Muy bueno
Chihuahua's Cantina & Grill,Nevada,5,Muy bueno
Miguel's Mexican Seafood & Grill,Florida,2,Muy bueno
Pollo Feliz,Arizona,5,Muy bueno
El Toro Mexican Cuisine,Indiana,4,Muy bueno
El Vez,Pensilvania,5,Muy bueno
El Burrito Mexicano,Tennessee,2,Muy bueno
Maria's Mexican Restaurant,Nevada,5,Muy bueno
Los Potrillos Taqueria,Nevada,4,Muy bueno
La Hacienda Mexican Restaurant,Pensilvania,5,Muy bueno
Hana Kitchen,California,4,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,1,Malo
Habanero Grill,Tennessee,5,Muy bueno
Favela Chic,Luisiana,5,Muy bueno
Lupitas Mexican Restaurant,Nevada,4,Muy bueno
Bakersfield,Tennessee,5,Muy bueno
Yard House,Indiana,4,Muy bueno
Chili's,Florida,5,Muy bueno
Jack in the Box,Missouri,1,Malo
el Pollo Lucky,Arizona,4,Muy bueno
Charro Steak & Del Rey,Arizona,5,Muy bueno
Marina Cantina,Florida,5,Muy bueno
Red's Broken Bat,Nevada,1,Malo
Saint Anejo,Tennessee,1,Muy bueno
Red Mesa Cantina,Florida,5,Muy bueno
Chava's Mexican Restaurant,Missouri,3,Malo
El Sitio,California,5,Muy bueno
Blanco Tacos + Tequila,Arizona,5,Muy bueno
Freebirds,California,5,Muy bueno
Del Pez Mexican Gastropub,Delaware,5,Muy bueno
Super Tortas,Indiana,5,Muy bueno
The Tamale Place,Indiana,3,Malo
Freebirds World Burrito,Tennessee,2,Malo
Chuy's,Florida,4,Muy bueno
Cafe Ole,Idaho,3,Muy bueno
Pancho & Willie's Cantina,Nevada,5,Muy bueno
Bartaco,Florida,4,Muy bueno
Cielito Lindo Taqueria,Nevada,5,Muy bueno
Casa Tina,Florida,5,Muy bueno
El Jaliciense Mexican Restaurant,Tennessee,2,Muy bueno
Chipotle Mexican Grill,Florida,5,Muy bueno
Rey Azteca,Pensilvania,5,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,5,Muy bueno
Cantina Los Caballitos,Pensilvania,1,Muy bueno
Los Agaves,California,5,Muy bueno
El Huarache Azteca,Florida,4,Muy bueno
Freebirds,California,4,Muy bueno
Guadalajara Original Grill,Arizona,3,Muy bueno
Bartaco,Tennessee,5,Muy bueno
Taqueria Pico De Gallo,Arizona,4,Muy bueno
Lolis Mexican Cravings,Florida,4,Muy bueno
Jake's Coastal Cantina,Florida,3,Muy bueno
Distrito,Pensilvania,5,Muy bueno
Loco Mexican Restaurant & Cantina,Indiana,4,Muy bueno
Cantina Dos Segundos,Pensilvania,4,Muy bueno
La Fonda,Illinois,5,Muy bueno
Taqueria La Veracruzana,Pensilvania,5,Muy bueno
Nueva Cantina,Florida,4,Muy bueno
Candelaria's Cafe Shop,Nevada,5,Muy bueno
Oishii Poké,Pensilvania,5,Muy bueno
Taco Bell,Florida,1,Muy bueno
El Tio Mexican Restaurant,Pensilvania,5,Muy bueno
Carlillos Cocina,Nevada,5,Muy bueno
Bakersfield,Tennessee,5,Muy bueno
Taco Bell,Nevada,1,Malo
Rudy's Mexican Restaurant,California,5,Muy bueno
"Guadalajara Grill - Fiesta, Best Mexican Restaurant in Tucson",Arizona,5,Muy bueno
Diablo & Sons Saloon,Idaho,5,Muy bueno
Delicia,Indiana,3,Muy bueno
The Greyhound Cafe,Pensilvania,5,Muy bueno
Poco & Moms,Arizona,4,Muy bueno
Laughing Planet Cafe,Nevada,5,Muy bueno
Los Agaves Grill,Indiana,5,Muy bueno
Los Amigos Dos,Florida,5,Muy bueno
Los Agaves,California,5,Muy bueno
Bakersfield,Indiana,4,Muy bueno
Taqueria Feliz,Pensilvania,4,Muy bueno
Luciana's Mexican Restaurant,Indiana,4,Muy bueno
Taquitos Mexican,Florida,5,Muy bueno
Guisados Don Roman,Pensilvania,5,Muy bueno
Marina Cantina,Florida,5,Muy bueno
Central Taco & Tequila,Nueva Jersey,2,Muy bueno
Estrella,Pensilvania,4,Muy bueno
Chuy's,Florida,5,Muy bueno
Pueblo Real Mexican Restaurant - Franklin,Tennessee,4,Muy bueno
Casa Fiesta,Tennessee,5,Muy bueno
Luciana's Mexican Restaurant,Indiana,3,Muy bueno
El Fuego,Pensilvania,5,Muy bueno
Chow Public Market and Eatery,Idaho,2,Malo
La Hacienda Restaurant,Arizona,5,Muy bueno
La Hacienda Mexican Restaurant,Indiana,2,Malo
La Roca,Pensilvania,3,Muy bueno
The B-Line,Arizona,5,Muy bueno
Naked Fins,Idaho,3,Muy bueno
Blue Corn,Pensilvania,5,Muy bueno
Chili's,California,1,Muy bueno
Nana's Kitchen,Arizona,4,Muy bueno
Carlota's Authentic Mexican Cuisine,Arizona,5,Muy bueno
Border Cafe,Delaware,1,Muy bueno
Mojo's Tacos,Tennessee,5,Muy bueno
Central Taco & Tequila,Nueva Jersey,5,Muy bueno
Seoul Taco,Missouri,5,Muy bueno
Taqueria Mi Mexico,Florida,4,Muy bueno
El Guerrero Mexican Grill,Florida,4,Muy bueno
El Chapo Taco,Florida,5,Muy bueno
Frida's Mexican Food,Pensilvania,5,Muy bueno
Bubbakoo's Burritos,Nueva Jersey,2,Malo
Vicentas Mexican Cuisine,California,4,Muy bueno
Beach Brewz,Florida,5,Muy bueno
Los Comparres,Florida,5,Muy bueno
Habanero's Mexican Restaurant,Tennessee,5,Muy bueno
Tacos Gone Mobile,Florida,4,Muy bueno
Tortas El Guero,Indiana,5,Muy bueno
Los Camaradas,Pensilvania,3,Muy bueno
Lilly's Tacos,California,5,Muy bueno
The Quesadillas,Arizona,5,Muy bueno
GUAC Tequila & Tacos,Florida,2,Muy bueno
Uptown Bar & Lounge,California,5,Muy bueno
Domingo's Cafe,California,4,Muy bueno
Sharky's Woodfired Mexican Grill,California,5,Muy bueno
CALI - Tampa Palms,Florida,5,Muy bueno
La Hacienda Mexican Restaurant,Pensilvania,4,Muy bueno
Miguelitos Taqueria Y Tequilas,Florida,5,Muy bueno
El Berraco,Arizona,5,Muy bueno
Lolis Mexican Cravings,Florida,5,Muy bueno
Taco Bus,Florida,4,Muy bueno
Lilly's Tacos,California,5,Muy bueno
Taco Bell,Nevada,5,Muy bueno
Panchita's Mexican Criolla,Luisiana,4,Muy bueno
El Molinito Restaurant,Arizona,2,Muy bueno
Chipotle Mexican Grill,Nueva Jersey,2,Muy bueno
Besito Mexican Restaurant,Florida,5,Muy bueno
Cantina Los Caballitos,Pensilvania,5,Muy bueno
Chipotle Mexican Grill,Tennessee,5,Muy bueno
Zeppelin,Nevada,4,Muy bueno
Rubio's,Arizona,4,Muy bueno
Cucina Zapata,Pensilvania,5,Muy bueno
Plaza Vazquez,Pensilvania,5,Muy bueno
The Little One,Arizona,5,Muy bueno
Papa Locos Tacos and Burgers,Arizona,4,Muy bueno
The VIP Mexican Restaurant & Lounge,Florida,4,Muy bueno
Casa Tina,Florida,5,Muy bueno
Real Mexican Kitchen,Pensilvania,5,Muy bueno
The Bait House Tackle & Tavern,Florida,5,Muy bueno
Rosy's Taco Bar,Pensilvania,4,Muy bueno
Tito's Mexican Restaurant - Berry Farms,Tennessee,2,Muy bueno
Felipe's Mexican Taqueria - French Quarter,Luisiana,5,Muy bueno
Red Mesa Mercado,Florida,3,Malo
El Charro Cafe,Arizona,5,Muy bueno
"Guadalajara Grill - Mexican, Best Mexican Restaurant in Tucson",Arizona,5,Muy bueno
La Calaca Feliz,Pensilvania,5,Muy bueno
Cantina,Nevada,1,Malo
Chavelita's Cocina Mexicana,Nevada,5,Muy bueno
GUAC Tequila & Tacos,Florida,3,Muy bueno
Taqueria Del Norte,Pensilvania,5,Muy bueno
Casa Valencia,Arizona,4,Muy bueno
Roberto's Taco Shop,Nevada,5,Muy bueno
Chili's,Indiana,4,Muy bueno
Shoreline Beach Cafe,California,5,Muy bueno
Seis Kitchen,Arizona,5,Muy bueno
La Hacienda Mexican Restaurant,Indiana,5,Muy bueno
Empamamas,Florida,4,Muy bueno
The Quesadillas,Arizona,5,Muy bueno
El Gato Negro,Luisiana,5,Malo
Mariscos Chihuahua,Arizona,5,Muy bueno
Capital Tacos,Florida,5,Muy bueno
Plaza Azteca - Plymouth Meeting,Pensilvania,5,Muy bueno
"Guadalajara Grill - Mexican, Best Mexican Restaurant in Tucson",Arizona,2,Malo
Taco Dirty,Florida,5,Muy bueno
Zeppelin,Nevada,4,Muy bueno
King George II Inn,Pensilvania,5,Muy bueno
Chuy's,Tennessee,4,Muy bueno
Mekenita Cantina,Florida,4,Muy bueno
Los Agaves,California,5,Muy bueno
Los Compadres Mexican Restaurant,Nevada,5,Muy bueno
Charro Steak & Del Rey,Arizona,2,Muy bueno
Naked Fins,Idaho,3,Muy bueno
La Hacienda Restaurant,Arizona,5,Muy bueno
Carmelitas,Florida,3,Muy bueno
El Camino Real,Pensilvania,4,Muy bueno
Lolis Mexican Cravings,Florida,5,Muy bueno
Chipotle Mexican Grill,Florida,1,Malo
Boca Tacos Y Tequila,Arizona,5,Muy bueno
El Rodeo No 16,Indiana,5,Muy bueno
Grumpy Gringo,Florida,1,Malo
Madre - Boutique Taqueria,Idaho,4,Muy bueno
Caliente Mexican Restaurant,Indiana,5,Muy bueno
Señor Tequila Mexican Restaurant - Tampa,Florida,5,Muy bueno
Chihuahua's Cantina & Grill,Nevada,5,Muy bueno
Tacodelphia,Pensilvania,1,Malo
El Charro Cafe,Arizona,4,Muy bueno
Taco Bell,Arizona,4,Muy bueno
Amigos Tortilla Bar,Florida,2,Muy bueno
Speedy Burritos,Nevada,5,Muy bueno
Distrito,Pensilvania,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,1,Malo
Biscuits Cafe,Indiana,4,Muy bueno
Chile Verde Mexican Grill,Indiana,5,Muy bueno
El Cerrito Mexican Restaurant & Grill,Florida,1,Malo
Nal Restaurant,Delaware,2,Muy bueno
Laughing Planet Cafe,Nevada,5,Muy bueno
Agave Restaurant,Florida,4,Muy bueno
Pueblo Lindo,Idaho,3,Muy bueno
Chili's,Arizona,1,Muy bueno
Felipe's Mexican Taqueria - Mid City,Luisiana,5,Muy bueno
Guadalajara Original Grill,Arizona,5,Malo
Casa Garcia Mexican Restaurant,Luisiana,5,Muy bueno
Pueblo Lindo,Idaho,5,Muy bueno
Tumerico,Arizona,5,Muy bueno
Tumerico,Arizona,5,Muy bueno
Café y Chocolate,Pensilvania,5,Muy bueno
Vallartas Mexican Restaurant,Florida,5,Muy bueno
East Beach Tacos,California,4,Muy bueno
Mariscos Chihuahua,Arizona,5,Muy bueno
Los Jarritos,Arizona,3,Muy bueno
CALI - Tampa Palms,Florida,5,Muy bueno
Naked Fins,Idaho,2,Muy bueno
Zeppelin,Nevada,4,Muy bueno
Rudy's Mexican Restaurant,California,2,Muy bueno
Rubio's Coastal Grill,Florida,3,Muy bueno
Bertha Miranda To Go & Deli,Nevada,3,Muy bueno
Burritos & Beer,Indiana,5,Muy bueno
Pedro's Cocina Mexicana,Tennessee,5,Muy bueno
Hana Kitchen,California,2,Muy bueno
Tequilas,Florida,4,Muy bueno
Cafe Negril,Luisiana,3,Muy bueno
Cafe Poca Cosa,Arizona,4,Muy bueno
51st Deli,Tennessee,3,Muy bueno
Del Taco,Nevada,2,Muy bueno
Chile Verde Authentic Mexican Food,Florida,5,Muy bueno
Red's Broken Bat,Nevada,2,Muy bueno
Rubio's Coastal Grill,Florida,5,Muy bueno
Los Bertos,Arizona,5,Muy bueno
Madre - Boutique Taqueria,Idaho,5,Muy bueno
Super Cuca's Taqueria,California,4,Muy bueno
Rancho Rustico Restaurant,Arizona,2,Muy bueno
Francisco's De Noche,Arizona,4,Muy bueno
Uncle Julio's,Tennessee,4,Muy bueno
California Tacos and Taproom,California,5,Muy bueno
Chipotle Mexican Grill,Nevada,1,Muy bueno
GRINGO grill + cantina,Arizona,2,Malo
Sunny Daze Cafe,Arizona,5,Muy bueno
Bartaco,Florida,4,Muy bueno
Fiesta Chicken,Idaho,4,Muy bueno
5 Agaves Mexican Restaurant Bar & Grill,Tennessee,1,Muy bueno
Rubio's Coastal Grill,Florida,5,Muy bueno
Roberto's Taco Shop,Nevada,4,Muy bueno
Lindo Mexico II,Indiana,3,Muy bueno
El Chapo Taco,Florida,5,Muy bueno
The Velvet Cactus,Luisiana,1,Muy bueno
Perdigon El Sabor,Florida,4,Muy bueno
The Little One,Arizona,5,Muy bueno
Lorenzos Cabana,Nueva Jersey,5,Muy bueno
Lilly's Tacos,California,5,Muy bueno
El Guero Canelo,Arizona,5,Muy bueno
Taquitos Mexican,Florida,5,Muy bueno
Beach Brewz,Florida,2,Muy bueno
El Mariachi San Lucas,Nueva Jersey,5,Muy bueno
Fini's Landing,Arizona,1,Regular
Latin American Restaurant Pollo on Grill,Nueva Jersey,1,Malo
Sangrita Saloon,Indiana,5,Muy bueno
Sandbar,California,3,Muy bueno
Abuelo's Mexican Restaurant,Indiana,5,Muy bueno
Livery - Indianapolis,Indiana,5,Muy bueno
Los Agaves,California,5,Muy bueno
Taco Bus,Florida,2,Muy bueno
El Limon - Ambler,Pensilvania,5,Muy bueno
Esquina Cantina,Tennessee,2,Malo
Tequilas Restaurant,Pensilvania,5,Muy bueno
Baja Cafe on Campbell,Arizona,5,Muy bueno
goa taco,California,1,Malo
Baja Cafe on Campbell,Arizona,5,Muy bueno
Jack in the Box,Idaho,4,Muy bueno
El Paseo Mexican Restaurant,California,2,Malo
Restaurant Sinaloa,Arizona,3,Malo
St Mary's Mexican Food,Arizona,5,Muy bueno
Capital Tacos,Florida,4,Muy bueno
Chipotle Mexican Grill,Pensilvania,1,Malo
Soy Bistro,Tennessee,5,Muy bueno
Padaro Beach Grill,California,5,Muy bueno
Distrito,Pensilvania,4,Muy bueno
El Gallo Giro,Idaho,5,Muy bueno
Taco Tico,Luisiana,2,Malo
Chili's,Missouri,1,Malo
Acapulco Taqueria,Florida,2,Muy bueno
Central Taco & Tequila,Nueva Jersey,2,Muy bueno
Taco Bell,Pensilvania,5,Muy bueno
Fiesta Mexicana,Nevada,5,Muy bueno
Amigos Tortilla Bar,Florida,5,Muy bueno
Santo Mezcal,California,3,Muy bueno
El Minuto Cafe,Arizona,5,Muy bueno
XT Munchies,Florida,5,Muy bueno
Bertha Miranda's Mexican Food Restaurant and Cantina,Nevada,5,Muy bueno
Taqueria Corona,Luisiana,5,Muy bueno
The Natural Cafe,California,4,Muy bueno
Grumpy Gringo,Florida,2,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,3,Muy bueno
Club Taco,Missouri,5,Muy bueno
Buena Vista Mexican Restaurant,Pensilvania,4,Muy bueno
El Burrito,Pensilvania,1,Malo
The Rum House,Luisiana,4,Muy bueno
The Little One,Arizona,5,Muy bueno
Chimi's Fresh Mex,Missouri,4,Muy bueno
El Diablo Burritos,Delaware,4,Muy bueno
La Guera Mexican Grill,Pensilvania,4,Muy bueno
Central Taco & Tequila,Nueva Jersey,4,Muy bueno
Fini's Landing,Arizona,5,Muy bueno
La Tejana Taqueria,Missouri,5,Muy bueno
Taco Bus,Florida,3,Muy bueno
Seoul Taco,Missouri,5,Muy bueno
La Parrilla Suiza,Arizona,2,Muy bueno
Naked Fins,Idaho,5,Muy bueno
Yard House,Indiana,4,Muy bueno
Garcias Mexican Restaurant,Tennessee,5,Muy bueno
Loco Pez,Pensilvania,5,Muy bueno
Pancho's Taqueria and Mexican Restaurant,Indiana,4,Muy bueno
Boca Tacos Y Tequila,Arizona,3,Muy bueno
Green Lemon,Florida,5,Muy bueno
La Olla Mexican Cafe,Arizona,5,Muy bueno
Loco Pez,Pensilvania,4,Muy bueno
Taco Bell,Illinois,1,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,4,Muy bueno
El Patron Mexican Grill and Cantina,Luisiana,4,Muy bueno
Corazon Cocina,California,5,Muy bueno
El Limon - Norristown,Pensilvania,4,Muy bueno
Tacos And Beer,Luisiana,5,Muy bueno
Peppe's Mexican Grill,Pensilvania,4,Muy bueno
Sopapilla's,Tennessee,5,Malo
Pedro's Cocina Mexicana,Tennessee,2,Muy bueno
Taco Bus,Florida,2,Muy bueno
Rubio's Coastal Grill,Florida,4,Muy bueno
Jimmy Hula's,Florida,5,Muy bueno
Cafe Poca Cosa,Arizona,5,Muy bueno
Taco Giro,Arizona,4,Muy bueno
Luciana's Mexican Restaurant,Indiana,5,Muy bueno
Yoshi Sushi,Florida,2,Muy bueno
Salsarita's Fresh Mexican Grill,Tennessee,1,Malo
Mad Mex - Willow Grove,Pensilvania,5,Muy bueno
Los Agaves,California,5,Muy bueno
TaKorean,Pensilvania,4,Muy bueno
Cheap Charlies Taco Shop,Tennessee,5,Muy bueno
The Bait House Tackle & Tavern,Florida,5,Muy bueno
Tequilas Restaurant,Pensilvania,2,Muy bueno
Lilly's Tacos,California,5,Muy bueno
Charro del Rey,Arizona,5,Muy bueno
Jack in the Box,Nevada,1,Muy bueno
Tacos Jalisco Grill & Cantina,Nevada,5,Muy bueno
Las Margaritas,Pensilvania,2,Malo
El Jefe's Cantina,Nevada,4,Muy bueno
Loren & Mari Mexican Grill,Indiana,3,Muy bueno
The Quesadillas,Arizona,5,Muy bueno
Casa Blanca Restaurant,California,5,Muy bueno
On The Border Mexican Grill & Cantina,Arizona,3,Muy bueno
Southwest Diner,Missouri,5,Muy bueno
Capital Tacos,Florida,5,Muy bueno
Five Points Cocina Mexicana,Tennessee,1,Malo
Jack in the Box,Nevada,4,Muy bueno
El Jarocho,Pensilvania,5,Muy bueno
BK Tacos,Arizona,3,Muy bueno
Saint Anejo,Tennessee,4,Muy bueno
Lolis Mexican Cravings Food Truck,Florida,2,Muy bueno
Casa Maria Mexican Grill,Illinois,5,Muy bueno
Burrito Bandito,Nevada,3,Malo
Guppy's Good Times,Pensilvania,3,Muy bueno
Chuy's,Tennessee,5,Muy bueno
Salty's Island Bar & Grille,Florida,5,Muy bueno
Plaza Maya Restaurant & Lounge,Nevada,5,Muy bueno
La Parada Restaurant,Nevada,5,Muy bueno
Pueblo Solis,Missouri,1,Muy bueno
The Funky Taco,Idaho,5,Muy bueno
Casa Sanchez-Mom's Mexican Food,Arizona,3,Muy bueno
El Charro Cafe,Arizona,4,Muy bueno
Leon Mexican Cuisine,Indiana,4,Muy bueno
Bartaco,Florida,4,Muy bueno
Livery - Indianapolis,Indiana,4,Muy bueno
Baja Sharkeez,California,5,Muy bueno
Cafe Poca Cosa,Arizona,5,Muy bueno
Taco Bell,Nevada,4,Malo
Diablo & Sons Saloon,Idaho,5,Muy bueno
Zeppelin,Nevada,5,Muy bueno
Zeppelin,Nevada,4,Muy bueno
The Matador,Idaho,2,Muy bueno
Chili's,Tennessee,1,Malo
Red's Broken Bat,Nevada,5,Muy bueno
Los Cuates Mexican Restaurant,Indiana,1,Muy bueno
Taqueria Juanito's,Arizona,3,Muy bueno
Pueblo Real Mexican Restaurant - Franklin,Tennessee,4,Muy bueno
The Blacktop Grill,Arizona,5,Muy bueno
Sarita's Grill,Luisiana,5,Muy bueno
Rollin Fatties,Luisiana,3,Muy bueno
Guadalajara Original Grill,Arizona,1,Malo
Taqueria Chilangos,Luisiana,1,Malo
El Charro Cafe,Arizona,4,Muy bueno
Super Cuca's Restaurant,California,1,Malo
Wahoo's Fish Tacos,California,4,Muy bueno
Baja Sharkeez,California,4,Muy bueno
Chili's,Florida,4,Muy bueno
Ma &  Pa’s Tex-Mex BBQ,Nueva Jersey,5,Muy bueno
South Philly Barbacoa,Pensilvania,4,Muy bueno
Perdigon El Sabor,Florida,5,Muy bueno
Miguelitos Taqueria Y Tequilas,Florida,1,Malo
Chili's,Florida,5,Muy bueno
GUAC Tequila & Tacos,Florida,2,Muy bueno
Five Points Cocina Mexicana,Tennessee,5,Muy bueno
Shoefly Public House,Indiana,5,Muy bueno
El Gato Negro,Luisiana,5,Muy bueno
Dos Reyes Mexican Restaurant,Missouri,5,Muy bueno
South Philly Barbacoa,Pensilvania,5,Muy bueno
Yard House,Indiana,5,Muy bueno
Cafe Poca Cosa,Arizona,5,Muy bueno
Casino Del Sol,Arizona,4,Muy bueno
GRINGO grill + cantina,Arizona,1,Malo
Zeppelin,Nevada,5,Muy bueno
Lucha Cartel,Pensilvania,4,Muy bueno
El Texano,Florida,2,Muy bueno
El Rinconsito,Pensilvania,4,Muy bueno
Ana's Taco Bar,California,1,Muy bueno
The Tortilla Factory Mexican Grill,Idaho,2,Muy bueno
Zeppelin,Nevada,4,Muy bueno
On The Border Mexican Grill & Cantina,Pensilvania,1,Muy bueno
Taco Vanny,Florida,4,Muy bueno
Carlillos Cocina,Nevada,4,Muy bueno
Bartaco,Tennessee,5,Muy bueno
Baja Cafe on Campbell,Arizona,5,Muy bueno
Bertha Miranda To Go & Deli,Nevada,3,Muy bueno
Mission Taco Joint - Delmar Loop,Missouri,4,Muy bueno
Bartaco,Tennessee,4,Muy bueno
El Cisne Restaurant,Arizona,4,Muy bueno
Florida Subs & Gyros,Florida,3,Muy bueno
Señor Tequila Mexican Restaurant - Tampa,Florida,5,Muy bueno
El Poquito,Pensilvania,3,Muy bueno
Taco Bar,Florida,5,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,5,Muy bueno
Vegan GreenGO,California,5,Muy bueno
Los Amigos Dos,Florida,5,Muy bueno
Chago's Mexican Restaurant,Tennessee,5,Muy bueno
Milo Restaurant,Pensilvania,5,Muy bueno
Walnut Grill - Sunset Hills,Missouri,5,Muy bueno
Juan's Flying Burrito,Luisiana,5,Muy bueno
Nuevo Vallarta Authentic Mexican Food,Florida,5,Muy bueno
Sabrina's West Street Kitchen,Nevada,5,Muy bueno
Jack in the Box,Missouri,4,Muy bueno
Chuy's,Tennessee,4,Muy bueno
El Vez,Pensilvania,5,Muy bueno
La Fresita Tucson,Arizona,2,Malo
Rollies Mexican Patio,Arizona,5,Muy bueno
Blanco Tacos + Tequila,Arizona,5,Muy bueno
Vallartas Mexican Restaurant,Florida,1,Malo
Tacos Jalisco Grill & Cantina,Nevada,4,Muy bueno
Taco Giro,Arizona,5,Muy bueno
El Burrito,Pensilvania,4,Muy bueno
Chuy's,Florida,2,Malo
Chuy's,Florida,4,Muy bueno
Los Patios,Indiana,5,Muy bueno
Jake's Coastal Cantina,Florida,5,Muy bueno
Punch Bowl Social Indianapolis,Indiana,2,Malo
Yard House,Indiana,4,Muy bueno
Sharky's Woodfired Mexican Grill,California,5,Muy bueno
El Paso Mexican Grill,Luisiana,5,Muy bueno
The Little One,Arizona,5,Muy bueno
